Class.identifier & 1.000   & 2.000   & 2.000   & 2.304   & 3.000   & 3.000  
Alcohol & 11.41   & 12.18   & 12.62   & 12.69   & 13.21   & 14.22  
Malic.acid & 0.740   & 1.480   & 2.350   & 2.475   & 3.353   & 5.190  
Ash & 1.700   & 2.203   & 2.320   & 2.330   & 2.495   & 2.920  
Alkalinity.of.ash & 13.2   & 18.5   & 20.0   & 20.3   & 22.0   & 26.5  
Magnesium &  70.00   &  86.00   &  91.50   &  94.64   & 101.75   & 134.00  
Total.phenols & 0.980   & 1.620   & 1.990   & 2.042   & 2.420   & 3.520  
Flavanoids & 0.340   & 0.830   & 1.595   & 1.633   & 2.240   & 3.750  
Nonflavanoid.phenols & 0.1400   & 0.2900   & 0.4000   & 0.3917   & 0.4800   & 0.6600  
Proanthocyanidins & 0.410   & 1.022   & 1.390   & 1.388   & 1.655   & 2.910  
Color.intensity &  1.280   &  2.800   &  3.920   &  4.601   &  5.638   & 10.520  
Hue & 0.5400   & 0.7400   & 0.9050   & 0.9186   & 1.0775   & 1.4500  
OD280.OD315.of.diluted.wines & 1.270   & 1.750   & 2.450   & 2.418   & 3.072   & 3.710  
Proline & 278.0   & 441.0   & 550.0   & 546.5   & 657.5   & 795.0  
